timestamp,company,level,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,otherdetails,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Race,Education
2019,Adobe,Software Engineer 1,Software Engineer,140000,"San Jose, CA",0,0,Distributed Systems (Back-End),120000,20000,0,Male,NA,7422,807,7265,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 2,Software Engineer,167000,"San Jose, CA",0,0,DevOps,130000,30000,7000,Male,NA,7422,807,12395,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,MTS,Hardware Engineer,166000,"San Jose, CA",0,0,Software,140000,13000,13000,Male,NA,7422,807,16750,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 1,Software Engineer,155000,"San Jose, CA",0,0,API Development (Back-End),120000,27000,8000,Male,NA,7422,807,17627,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Member of Technical Staff,Software Engineer,22000,"Delhi, DL, India",0,0,API Development (Back-End),16000,3000,3000,Female,NA,13690,0,18087,0,0,0,0,0,0,0,0,0,0,NA,NA
2020,Adobe,Software Engineer 2,Software Engineer,190000,"San Jose, CA",0,0,ML / AI,135000,35000,20000,Male,"50,000 signing - Masters",7422,807,24059,1,0,0,0,0,0,0,0,0,0,NA,Master's Degree
2019,Adobe,Software Engineer 2,Software Engineer,150000,"San Jose, CA",1,1,Full Stack,120000,22000,8000,NA,NA,7422,807,7245,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 2,Software Engineer,160000,"San Jose, CA",1,0,Full Stack,125000,25000,9000,Male,NA,7422,807,9497,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 3,Software Engineer,210000,"Seattle, WA",1,0,Full Stack,145000,40000,20000,Male,NA,11527,819,10174,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 3,Data Scientist,213000,"San Jose, CA",1,1,ML / AI,148000,50000,15000,Male,NA,7422,807,13453,0,0,0,0,0,0,0,0,0,0,NA,NA
2018,Adobe,L1,Product Manager,174000,"Austin, TX",2,1,API Development (Back-End),125000,31000,18000,NA,NA,10965,635,3390,0,0,0,0,0,0,0,0,0,0,NA,NA
2018,Adobe,Research Scientist,Software Engineer,320000,"San Jose, CA",2,2,ML / AI,170000,125000,25000,Male,NA,7422,807,4334,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 2,Software Engineer,145000,"Emeryville, CA",2,2,API Development (Back-End),120000,20000,5000,Male,NA,15315,807,4868,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,L3,Product Manager,205000,"San Francisco, CA",2,3.5,Full Stack,135000,50000,20000,Male,NA,7419,807,6156,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 2,Software Engineer,137000,"San Jose, CA",2,1,Data,108000,22000,7000,Male,NA,7422,807,10681,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 3,Software Engineer,155000,"Lehi, UT",2,2,Distributed Systems (Back-End),120000,20000,10000,Male,NA,15555,770,12730,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Product manager 2,Product Manager,180000,"Salt Lake City, UT",2,9,Pm,131000,30000,18000,Male,NA,1180,770,16079,0,0,0,0,0,0,0,0,0,0,NA,NA
2020,Adobe,Software Engineer 2,Software Engineer,155000,"Portland, OR",2,2,Distributed Systems (Back-End),111000,33000,11000,Male,Masters,10522,820,21437,1,0,0,0,0,0,0,0,0,0,NA,Master's Degree
2020,Adobe,Software Engineer 2,Software Engineer,169000,"San Francisco, CA",2,1,iOS,130000,30000,9000,Male,Title: iOS Developer,7419,807,22192,0,0,0,0,0,0,0,0,0,0,NA,NA
2018,Adobe,Computer Scientist I,Software Engineer,250000,"San Jose, CA",3,1.5,API Development (Back-End),140000,100000,10000,NA,NA,7422,807,2166,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 3,Software Engineer,166000,"Seattle, WA",3,3,Mobile (iOS + Android),133000,26000,7000,Female,NA,11527,819,5536,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 2,Software Engineer,185000,"San Jose, CA",3,0,DevOps,130000,25000,30000,NA,NA,7422,807,8446,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 1,Software Engineer,173000,"San Jose, CA",3,0,Distributed Systems (Back-End),125000,27000,20000,Male,NA,7422,807,8488,0,0,0,0,0,0,0,0,0,0,NA,NA
